exercicio,equipamento,grupo,subGrupo,musculoFoco,intensidadeFoco,musculoSubFoco,intensidadeSubFoco,musculoEstabilizador,intensidadeEstabilizador,cargaAxial,estresseLombar,estresseOmbro,estresseCotovelo,estressePunho,estresseJoelho,nivel,complexibilidade,estabilidade,tags,trocaJustadeExercicio
Levantamento Terra,Barra,Costas,Cadeia Post.,Glúteo Máximo,5,"Isquiotibiais, Costas (Toda)",5,"Core, Antebraço, Trapézio",5,Altíssima,Altíssima,Baixa,Baixa,Alta,Média,Avançado,5,Baixa,Hérnia_Lombar,Rack Pull
Puxada Alta,Polia,Costas,Latíssimo,Latíssimo Dorsal,5,"Bíceps, Braquial, Rombóides",4,"Manguito, Core",3,Baixa,Baixa,Alta,Média,Média,Nula,Iniciante,2,Alta,Impacto_Ombro,Puxada Articulada
Remada Curvada,Barra,Costas,Espessura,Rombóides,5,"Latíssimo, Bíceps, Trapézio",4,"Eretores Espinha, Core",5,Alta,Altíssima,Baixa,Média,Média,Baixa,Avançado,4,Baixa,Hérnia_Lombar,Remada Articulada
Remada Serrote,Halter,Costas,Espessura,Latíssimo Dorsal,5,"Bíceps, Posterior Ombro",3,"Core, Oblíquos",4,Baixa,Média,Baixa,Média,Média,Nula,Interm.,2,Média,Hérnia_Lombar_Inst,Remada Máquina
Barra Fixa,Peso Corporal,Costas,Latíssimo,Latíssimo Dorsal,5,"Bíceps, Antebraço",5,"Core, Manguito",4,Nula,Mínima,Altíssima,Alta,Alta,Nula,Avançado,4,Baixa,Lesão_Manguito,Puxada Alta
Remada Articulada,Máquina,Costas,Espessura,Rombóides,5,"Latíssimo, Bíceps",3,Nenhum (Apoio Peito),1,Baixa,Mínima,Baixa,Média,Baixa,Nula,Iniciante,1,Alta,-,Remada Baixa
Pulldown Polia,Polia,Costas,Latíssimo,Latíssimo Dorsal,4,Tríceps (Longa),3,Core,3,Nula,Baixa,Alta,Baixa,Baixa,Nula,Interm.,3,Média,Impacto_Ombro,Pullover
Remada Baixa,Polia,Costas,Espessura,Rombóides,5,"Bíceps, Latíssimo",4,"Eretores Espinha, Core",4,Média,Alta,Baixa,Média,Média,Nula,Interm.,2,Média,Hérnia_Lombar,Remada Articulada
Hiperextensão,Banco,Costas,Lombar,Eretores Espinha,5,Glúteo Máximo,3,Isquiotibiais,3,Média,Altíssima,Nula,Nula,Nula,Nula,Interm.,3,Média,Hérnia_Aguda,Dead Bug (Core)
Agachamento Livre,Barra,Pernas,Quadríceps,Quadríceps Femoral,5,"Glúteo Máximo, Adutores",4,"Eretores da Espinha, Core",5,Altíssima,Alta,Baixa,Mínima,Média,Alta,Avançado,5,Baixa,Hérnia de Disco Lombar,Hack Machine; Leg Press
Leg Press 45 Graus,Máquina,Pernas,Quadríceps,Quadríceps Femoral,5,"Glúteo Máximo, Adutores",3,"Core, Panturrilhas",2,Média,Média,Nula,Nula,Nula,Altíssima,Intermediário,2,Alta,Hérnia de Disco Instável,Leg Press Horizontal
Stiff,Barra,Pernas,Posterior,Isquiotibiais,5,Glúteo Máximo,4,"Eretores da Espinha, Core",5,Alta,Altíssima,Baixa,Mínima,Média,Baixa,Avançado,4,Média,Hérnia de Disco Lombar,Mesa Flexora; Elevação de Quadril
Cadeira Extensora,Máquina,Pernas,Quadríceps,Quadríceps Femoral,5,Nenhum,1,Reto Femoral,2,Nula,Mínima,Nula,Nula,Nula,Altíssima,Iniciante,1,Alta,Condromalácia Patelar Grave,Leg Press Horizontal
Mesa Flexora,Máquina,Pernas,Posterior,Isquiotibiais,5,Gastrocnêmio,2,Glúteo Máximo,1,Nula,Mínima,Nula,Nula,Nula,Baixa,Iniciante,1,Alta,-,Cadeira Flexora
Elevação de Quadril,Barra,Pernas,Glúteos,Glúteo Máximo,5,Isquiotibiais,3,"Core, Eretores da Espinha",3,Média,Baixa,Nula,Nula,Nula,Baixa,Intermediário,3,Média,-,Glute Bridge no Solo
Afundo,Halteres,Pernas,Quadríceps,Quadríceps Femoral,4,"Glúteo Máximo, Isquiotibiais",3,"Core, Glúteo Médio",4,Média,Média,Baixa,Baixa,Média,Alta,Intermediário,3,Baixa,Equilíbrio Precário,Afundo no Smith
Hack Machine,Máquina,Pernas,Quadríceps,Quadríceps Femoral,5,Glúteo Máximo,3,Core (mínimo),2,Média,Baixa,Nula,Nula,Nula,Altíssima,Intermediário,2,Alta,Condromalácia Patelar,Leg Press Horizontal
Cadeira Abdutora,Máquina,Pernas,Glúteos,Glúteo Médio,5,Tensor da Fáscia Lata,3,Core (estabilização lateral),2,Nula,Mínima,Nula,Nula,Nula,Nula,Iniciante,1,Alta,-,Abdução com Elástico
Supino Reto com Barra,Barra,Peito,Peitoral Médio,Peitoral Maior,5,"Tríceps Braquial, Deltoide Anterior",4,"Core, Manguito Rotador, Serrátil",3,Baixa,Baixa,Alta,Média,Alta,Nula,Intermediário,3,Média,"Síndrome do Impacto, Lesão de Punho",Supino com Halteres; Supino Máquina
Supino Inclinado com Halteres,Halteres,Peito,Peitoral Superior,Peitoral Maior (Porção Clavicular),5,"Deltoide Anterior, Tríceps Braquial",4,"Manguito Rotador, Core",4,Baixa,Baixa,Altíssima,Média,Média,Nula,Intermediário,3,Baixa,Lesão de Manguito Rotador,Supino Inclinado Máquina
Peck Deck (Voador),Máquina,Peito,Peitoral Médio,Peitoral Maior,5,Nenhum,1,Bíceps Braquial (Estabilização),2,Nula,Mínima,Baixa,Mínima,Baixa,Nula,Iniciante,1,Alta,Luxação Recorrente de Ombro,Cross Over Polia Alta
Cross Over (Polia Alta),Polia,Peito,Peitoral Inferior,Peitoral Maior (Porção Esternal),5,Deltoide Anterior,3,"Core, Serrátil Anterior",4,Baixa,Média,Alta,Baixa,Baixa,Nula,Intermediário,3,Baixa,Instabilidade de Ombro,Peck Deck
Flexão de Braços,Peso Corporal,Peito,Geral,Peitoral Maior,4,"Tríceps Braquial, Deltoide Anterior",3,"Core (Inteiro), Glúteos",5,Baixa,Média,Média,Média,Alta,Nula,Iniciante,2,Média,"Hérnia de Disco Lombar, Lesão de Punho",Supino Reto Máquina
Paralelas,Peso Corporal,Peito,Peitoral Inferior,Peitoral Maior,5,"Tríceps Braquial, Deltoide Anterior",5,"Core, Manguito Rotador, Trapézio",4,Nula,Mínima,Altíssima,Alta,Alta,Nula,Avançado,4,Baixa,"Impacto no Ombro, Epicondilite",Supino Declinado
Desenvolvimento com Barra,Barra,Ombros,Deltoide Anterior,Deltoide Anterior,5,"Tríceps Braquial, Deltoide Lateral",4,"Core, Eretores da Espinha, Serrátil",5,Altíssima,Alta,Altíssima,Média,Alta,Nula,Avançado,4,Baixa,"Hérnia de Disco Lombar, Impacto no Ombro",Elevação Lateral; Desenvolvimento Máquina
Elevação Lateral com Halteres,Halteres,Ombros,Deltoide Lateral,Deltoide Lateral,5,"Deltoide Anterior, Trapézio",3,"Core, Manguito Rotador",3,Baixa,Baixa,Alta,Mínima,Baixa,Nula,Iniciante,2,Média,Tendinite de Ombro,Elevação Lateral na Polia
Crucifixo Inverso na Máquina,Máquina,Ombros,Deltoide Posterior,Deltoide Posterior,5,"Trapézio, Rombóides",4,Nenhum,1,Nula,Mínima,Baixa,Mínima,Baixa,Nula,Iniciante,1,Alta,-,Crucifixo Inverso com Halteres
Elevação Frontal na Polia,Polia,Ombros,Deltoide Anterior,Deltoide Anterior,5,Trapézio Superior,2,Core,3,Baixa,Baixa,Alta,Mínima,Baixa,Nula,Iniciante,2,Média,Síndrome do Impacto,Elevação Lateral
Face Pull,Polia,Ombros,Deltoide Posterior,Deltoide Posterior,4,"Trapézio Médio, Manguito Rotador",5,"Core, Bíceps Braquial",3,Nula,Baixa,Baixa,Baixa,Baixa,Nula,Iniciante,2,Média,-,Crucifixo Inverso Máquina
Remada Alta com Barra,Barra,Ombros,Trapézio/Deltoide,Trapézio Superior,5,"Deltoide Lateral, Bíceps Braquial",4,"Core, Eretores da Espinha",3,Média,Média,Altíssima,Média,Alta,Nula,Intermediário,3,Média,"Impacto no Ombro, Lesão de Punho",Elevação Lateral
Rosca Direta com Barra Reta,Barra,Braços,Bíceps,Bíceps Braquial,5,"Braquial, Antebraço",4,"Core, Eretores da Espinha",3,Baixa,Baixa,Baixa,Alta,Altíssima,Nula,Iniciante,2,Média,"Epicondilite Lateral, Lesão de Punho",Rosca com Halteres Neutra
Tríceps Testa com Barra,Barra,Braços,Tríceps,Tríceps Braquial,5,Ancôneo,3,"Manguito Rotador, Peitoral (Estabilização)",2,Nula,Mínima,Baixa,Altíssima,Alta,Nula,Intermediário,3,Baixa,Epicondilite Medial (Cotovelo de Golfista),Tríceps na Polia com Corda
Rosca Martelo com Halteres,Halteres,Braços,Bíceps,Braquiorradial,5,"Bíceps Braquial, Braquial",4,Core,2,Baixa,Baixa,Baixa,Baixa,Baixa,Nula,Iniciante,1,Média,-,Rosca Direta com Barra W
Tríceps na Polia com Corda,Polia,Braços,Tríceps,Tríceps Braquial,5,Ancôneo,2,"Core, Serrátil Anterior",3,Nula,Mínima,Baixa,Baixa,Baixa,Nula,Iniciante,1,Alta,-,Tríceps Testa com Halteres
Rosca Concentrada,Halter,Braços,Bíceps,Bíceps Braquial,5,Braquial,3,Nenhum (Tronco Apoiado),1,Nula,Mínima,Nula,Média,Média,Nula,Iniciante,2,Alta,-,Rosca no Banco Scott
Tríceps Mergulho no Banco,Peso Corporal,Braços,Tríceps,Tríceps Braquial,5,"Deltoide Anterior, Peitoral Maior",4,"Core, Manguito Rotador",4,Nula,Baixa,Altíssima,Alta,Alta,Nula,Intermediário,3,Baixa,"Síndrome do Impacto, Lesão de Punho",Tríceps na Polia
Abdominal Crunch Solo,Peso Corporal,Core,Flexores de Tronco,Reto Abdominal,5,Oblíquos,3,Nenhum,1,Nula,Alta,Nula,Nula,Nula,Nula,Iniciante,1,Alta,"Hérnia de Disco Lombar, Cervicalgia",Dead Bug; Prancha Isométrica
Prancha Isométrica,Peso Corporal,Core,Estabilização,Transverso do Abdômen,5,"Reto Abdominal, Glúteos",4,"Serrátil Anterior, Quadríceps",4,Nula,Média,Média,Média,Alta,Baixa,Iniciante,2,Média,"Lesão de Punho, Hérnia Aguda",Dead Bug
Dead Bug (Inseto Morto),Peso Corporal,Core,Estabilização,Transverso do Abdômen,5,"Oblíquos, Reto Abdominal",3,Flexores de Quadril,2,Nula,Mínima,Baixa,Nula,Nula,Nula,Iniciante,2,Alta,-,Bird-Dog
Elevação de Pernas Suspenso,Barra Fixa,Core,Flexores de Quadril,Reto Abdominal (Inferior),5,"Iliopsoas, Reto Femoral",5,"Latíssimo Dorsal, Antebraço",4,Nula,Altíssima,Alta,Média,Alta,Nula,Avançado,4,Baixa,"Hérnia de Disco Lombar, Instabilidade de Ombro",Abdominal Infra no Solo
Bird-Dog (Cão-Pássaro),Peso Corporal,Core,Estabilização,Eretores da Espinha,4,"Glúteo Máximo, Transverso",4,"Deltoides, Core",4,Nula,Baixa,Média,Média,Média,Média,Iniciante,3,Baixa,-,Prancha Isométrica
