Tag de Limitação (Usuário),Coluna Monitorada,Ação do App (Bloquear se...),Por que?
Hérnia de Disco Lombar (ou Hérnia_Lombar),Carga Axial / Estresse Lombar,Valor for 4 ou 5,Protege contra compressão e cisalhamento excessivo.
Hérnia de Disco Instável / Aguda,Carga Axial / Estresse Lombar,"Valor for 3, 4 ou 5","Na fase aguda, o filtro é mais rigoroso. Apenas estresse 1 ou 2."
Impacto no Ombro / Manguito / Tendinite,Estresse Ombro,Valor for 4 ou 5,Evita amplitudes e cargas que pinçam os tendões.
Instabilidade / Luxação de Ombro,Estabilidade / Estresse Ombro,Estabilidade for Baixa,"Evita que a articulação ""saia do lugar"" em pesos livres."
Epicondilite (Lateral ou Medial),Estresse Cotovelo,Valor for 4 ou 5,Reduz a carga nos tendões que ligam ao cotovelo.
Lesão de Punho,Estresse Punho,Valor for 4 ou 5,Bloqueia barras retas e exercícios de apoio (flexão/prancha).
Condromalácia Patelar (Grave),Estresse Joelho,Valor for 4 ou 5,Evita o esmagamento da patela contra o fêmur.
Equilíbrio Precário,Estabilidade,Estabilidade for Baixa,Prioriza máquinas e exercícios com múltiplos pontos de apoio.
Cervicalgia,Estresse Ombro / Carga Axial,Estresse Ombro for 5,Exercícios que tensionam o trapézio superior pioram a dor cervical.
